nume,judet,code,artisti
Monumentul Aviatorilor,Bucuresti,IF,"Lidia Kotzebue, Iosif Fekete (sculptori)"
Fântâna Miorița,Bucuresti,IF,"Milița Petrașcu (sculptor), Octav Doicescu (arhitect)"
Monumentul „Ultimul străjer al capitalei”,Bucuresti,IF,Ernest Doneaud (sculptor)
Monumentul și fântâna Luigi Cazzavilan,Bucuresti,IF,"
Filip Marin (sculptor)"
Statuia lui I.C. Brătianu,Bucuresti,IF,"
Ivan Meštrović (sculptor)"
Bustul lui Victor Eftimiu,Bucuresti,IF,"
Dimitrie Paciurea (sculptor)"
Monumentul eroilor căzuți în primul război mondial,Bucuresti,IF,"
Ion Pantazi⁠(d) (sculptor)"
Statuia lui Mihai Eminescu,Bucuresti,IF,Gheorghe D. Anghel (sculptor)
Statuia „Centaurul”,Bucuresti,IF,"
Ion Jalea (sculptor)"
Statuia „Prometeu”,Bucuresti,IF,"
Joseph-Marie-Thomas Lambeaux (sculptor)"
Monumentul eroilor C.F.R.-isti,Bucuresti,IF,"
Cornel Medrea (sculptor), Ion Jalea (sculptor)"
Monumentul ing. Gh. I. Duca,Bucuresti,IF,"Dimitrie Paciurea, Filip Marin, Ștefan Burcuș (sculptori)"
Statuia lui Dinicu Golescu,Bucuresti,IF,"Wladimir Hegel, Carol Storck, Dimitrie Mirea (sculptori)"
Monumentul medicilor militari,Bucuresti,IF,Teodor Burcă (sculptor)
Bustul lui Nicolae Leonard,Bucuresti,IF,Oscar Han (sculptor)
Bustul lui Barbu Ștefanescu Delavrancea,Bucuresti,IF,Corneliu Medrea (sculptor)
Bustul lui Ovidiu,Bucuresti,IF,Cornel Medrea (sculptor)
Bustul prof. Gh. Munteanu-Murgoci,Bucuresti,IF,Frederic Storck (sculptor)
Statuia lui Alexandru Lahovary,Bucuresti,IF,Jean-Marius Antonin Mercié (sculptor)
Fântâna cu copii,Bucuresti,IF,Ioan Iordănescu (sculptor)
Monumentul „Avântul Țării”,Bucuresti,IF,"Emil Wilhelm Becker (sculptor), Arghir Culina (arhitect)"
Monument în cinstea eroilor Revoluției din Decembrie 1989,Bucuresti,IF,Alexandru Ghilduș (sculptor)
Bustul lui Vasile Alecsandri,Bucuresti,IF,Teodor Burcă (sculptor)
Bustul lui Nicolae Bălcescu,Bucuresti,IF,Constantin Baraschi (sculptor)
Bustul lui I. L. Caragiale,Bucuresti,IF,Oscar Späthe (sculptor) 
Bustul lui Ion Creangă,Bucuresti,IF,Ion Jiga (sculptor)
Bustul lui George Coșbuc,Bucuresti,IF,Ion Grigore Popovici (sculptor)
Bustul lui Mihai Eminescu,Bucuresti,IF,Ion Jalea (sculptor)
Bustul lui Bogdan Petriceicu Hașdeu,Bucuresti,IF,Mihai Onofrei (sculptor)
Bustul lui Șt. O. Iosif,Bucuresti,IF,Cornel Medrea (sculptor)
Bustul lui Titu Maiorescu,Bucuresti,IF,Ion Dimitriu-Bârlad (sculptor)
Bustul lui Alexandru Odobescu,Bucuresti,IF,Milița Petrașcu (sculptor)
Bustul lui Alexandru Vlahuță,Bucuresti,IF,Oscar Han (sculptor)
Bustul lui Duiliu Zamfirescu,Bucuresti,IF,Alexandru Călinescu (sculptor)
Bustul lui Theodor Șerbănescu,Bucuresti,IF,Filip Marin (sculptor)
Bustul lui Gheorghe Panu,Bucuresti,IF,Gheorghe Horvath (sculptor)
Monumentul lui Traian Demetrescu,Bucuresti,IF,Filip Marin (sculptor)
Monumentul Elenei Pherechide,Bucuresti,IF,Oscar Späthe (sculptor)
Bustul Maica Smara,Bucuresti,IF,Mihai Onofrei (sculptor)
Monumentul eroilor francezi,Bucuresti,IF,Ion Jalea (sculptor)
Bustul generalului Alexandru Cernat,Bucuresti,IF,Ion Georgescu (sculptor)
Statuia „Alergătorii”,Bucuresti,IF,Alfred Boucher (sculptor)
Monumentul eroilor din comuna Băneasa căzuți în primul război mondial,Bucuresti,IF,Emil Wilhelm Becker (sculptor)
Monumentul lui Gh. Gr. Cantacuzino,Bucuresti,IF,Ernest Henri Dubois (sculptor)
Monumentul G-ral Andranic,Bucuresti,IF,Hovakim Torosian (sculptor)
Bustul lui C. C. Nottara,Bucuresti,IF,Milița Petrașcu (sculptor)
Bustul prof. Vasile Șuteu,Bucuresti,IF,Cornel Medrea (sculptor)
Statuia lui Vasile Lascăr,Bucuresti,IF,Gheorghe Horvath (sculptor)
Monumentul lui Tudor Vladimirescu,Bucuresti,IF,Teodor Burcă (sculptor) 
Monumentul lui C. A. Rosetti,Bucuresti,IF,Wladimir Hegel (sculptor)
Bustul lui Constantin Dobrogeanu-Gherea,Bucuresti,IF,Naum Corcescu (sculptor)
Statuia lui I. L. Caragiale,Bucuresti,IF,Constantin Baraschi (sculptor)
Monumentul eroilor din 1916-1918,Bucuresti,IF,Vasile Ionescu-Varo (sculptor)
Statuia lui Theodor Pallady,Bucuresti,IF,Gheorghe D. Anghel (sculptor)
Statuia „Industria casnică”,Bucuresti,IF,Ion Georgescu
Statuia „Agricultura”,Bucuresti,IF,Ștefan Ionescu-Valbudea
Statuia spătarului Mihail Cantacuzino,Bucuresti,IF,Karl Storck (sculptor)
Statuia lui Constantin Brâncoveanu,Bucuresti,IF,Oscar Han (sculptor)
Bustul lui A. T. Laurian,Bucuresti,IF,Constantin Bălăcescu (sculptor)
Bustul lui Anton Pann,Bucuresti,IF,Dimitrie D. Mirea (sculptor)
Bustul lui Matei BasaraIF,Bucuresti,IF,Maria Grigorescu-Vasilovici (sculptor)
Monumentul eroilor căzuți în primul și al doilea război mondial,Bucuresti,IF,Spiridon Georgescu (sculptor)
Statuia lui Mihai Viteazul,Bucuresti,IF,Albert-Ernest Carrier-Belleuse (sculptor)
Statuia lui Ion Heliade Rădulescu,Bucuresti,IF,Ettore Ferrari (sculptor)
Statuia lui Gheorghe Lazăr,Bucuresti,IF,Ion Georgescu (sculptor)
Statuia lui Spiru Haret,Bucuresti,IF,Ion Jalea (sculptor)
Bustul dr. Alexandru Obregia,Bucuresti,IF,Frederic Storck (sculptor)
Bustul lui Dimitrie Cantemir,Bucuresti,IF,Ion Irimescu (sculptor)
Fântâna Zodiac,Bucuresti,IF,"Octav Doicescu (arhitect), Mac Constantinescu (sculptor), Dorin Pavel (sculptor)"
Fântâna George Grigorie Cantacuzino,Bucuresti,IF,"Alexandru Freiwald (arhitect), Karl Storck (sculptor)"
Statuia „Gigantul” (1),Bucuresti,IF,Dimitrie Paciurea (sculptor)
Statuia „Gigantul” (2),Bucuresti,IF,Frederic Storck (sculptor)
Statuia dr. C. I. Istrati,Bucuresti,IF,Oscar Späthe (sculptor)
Bustul lui Barbu Constantinescu,Bucuresti,IF,Ioan Iordănescu (sculptor)
Monumentul lui Gheorghe Șincai,Bucuresti,IF,Ion Schmidt-Faur (sculptor)
Monumentul funerar Fr. Broehm,Bucuresti,IF,Carol Storck (sculptor)
Monumentul funerar Karl Storck,Bucuresti,IF,Frederic Storck (sculptor)
Monumentul funerar Traugot Witting,Bucuresti,IF,Carol Storck (sculptor)
Mormântul Ostașului Necunoscut,Bucuresti,IF,Emil Wilhelm Becker (sculptor)
Monumentul funerar Gh. Adam Ghermani,Bucuresti,IF,Karl Storck (sculptor)
Monumentul funerar Em. Gugiu,Bucuresti,IF,Karl Storck (sculptor)
Monumentul funerar Gheorghe Magheru,Bucuresti,IF,Céline Emilian (sculptor)
Mormântul lui Ion Mincu,Bucuresti,IF,"State Baloșin (arhitect), C. M. Babic (sculptor)"
Monumentul funerar Maria I. Niculcea,Bucuresti,IF,Karl Storck (sculptor)
Monumentul funerar V. și Z. Polizu-Micșunești,Bucuresti,IF,Karl Storck (sculptor)
Monument funerar al fam. Prodanof,Bucuresti,IF,Boris Caragea (sculptor)
Monumentul funerar al fam. Stolojan,Bucuresti,IF,"Alexandru Clavel (arhitect), Dumitru Paciurea (sculptor)"
Monumentul funerar Paul Străjescu,Bucuresti,IF,"George Cristinel (arhitect), Ion Jalea (sculptor)"
Monumentul pompierilor din Dealul Spirii,Bucuresti,IF,Wladimir Hegel (sculptor)
Statuia dr. Carol Davila,Bucuresti,IF,Carol Storck (sculptor)
Monumentul Eroilor Patriei,Bucuresti,IF,"Marius Butunoiu, Zoe Băicoianu, Ion Dămăceanu, T. Ionescu"
Bustul prof. dr. Victor Babeș,Bucuresti,IF,Cornel Medrea (sculptor)
Bustul dr. I. Cantacuzino,Bucuresti,IF,Cornel Medrea (sculptor)
Statuia lui George Enescu,Bucuresti,IF,Ion Jalea (sculptor)
Statuia lui Mihail Kogălniceanu,Bucuresti,IF,Oscar Han (sculptor)
Monumentul Anei Davila,Bucuresti,IF,"Karl Storck (sculptor)
Carol Storck (sculptor)"
Bustul lui Dimitrie Bolintineanu,Bucuresti,IF,Mac Constantinescu (sculptor)
Monumentul Domniței Bălașa,Bucuresti,IF,Karl Storck (sculptor)
Monumentul funerar al Zoiței Doamna,Bucuresti,IF,Jules Roulleau (sculptor)
Monumentul funerar al Domniței Bălașa,Bucuresti,IF,Ion Georgescu (sculptor)
Monumentul infanteristului 1916-1918,Bucuresti,IF,Spiridon Georgescu (sculptor)
Bustul dr. D. Grecescu,Bucuresti,IF,Ion Dimitriu-Bârlad (sculptor)
Bustul prof. D. Brândză (1),Bucuresti,IF,Ion Dimitriu-Bârlad (sculptor)
Bustul prof. dr. Em. Teodorescu,Bucuresti,IF,Vasile Ionescu-Varo (sculptor)
Două statui „Muncitori”,Bucuresti,IF,Ion Jalea (sculptor)
Monumentul eroilor din arma geniului - Leul,Bucuresti,IF,Spiridon Georgescu (sculptor)
Monumentul lui Panait Donici,Bucuresti,IF,Oscar Späthe (sculptor)
Bust dr. Carol Davila,Bucuresti,IF,Constantin Brâncuși (sculptor)
"Obeliscul închinat memoriei lui Horea, Cloșca și Crișan",Alba,AB,"Iosif Fekete (sculptor), Octavian Mihălțan (arhitect)"
Bustul lui Horea,Alba,AB,Romulus Ladea (sculptor)
Biserica „Sf. Ierarh Nicolae”,Arad,AR,"Francisc Schwab (constructor), Ioan Zaicu (pictor), Nestor, Iosif, Iuliu Bosioc (sculptori)"
