code,judet,nume
B,Bucuresti,Muzeul Aviației
B,Bucuresti,Muzeul George Severeanu
B,Bucuresti,Muzeul Național de Artă
B,Bucuresti,Muzeul Național de Geologie
B,Bucuresti,Muzeul Național de Istorie
B,Bucuresti,Muzeul Național de Istorie Naturală „Grigore Antipa”
B,Bucuresti,Muzeul Satului
B,Bucuresti,Muzeul Gheorghe Tattarescu
B,Bucuresti,Muzeul Theodor Aman
B,Bucuresti,Muzeul Țăranului Român
B,Bucuresti,Muzeul Zambaccian
B,Bucuresti,Muzeul Național Tehnic
B,Bucuresti,Muzeul Național de Antichități (Casa Macca)
B,Bucuresti,Muzeul Național Henri Coandă
B,Bucuresti,Muzeul Parfumului din România
B,Bucuresti,Muzeul Căilor Ferate
B,Bucuresti,Expoziția muzeală STB - a transportului de călători din București
B,Bucuresti,Muzeul Theodor Pallady
B,Bucuresti,Muzeul de Artă Populară
B,Bucuresti,Muzeul de Artă Veche Apuseană
B,Bucuresti,Muzeul Universității
B,Bucuresti,Muzeul Universității Politehnica din București
B,Bucuresti,Muzeul Copiilor
B,Bucuresti,Casa Experimentelor
B,Bucuresti,Muzeul Kitschului
B,Bucuresti,Muzeul de Artă Recentă
IF,Ilfov,Centrul de Cultură „Palatele Brâncovenești de la Porțile Bucureștiului”
IF,Ilfov,Țiriac Collection
AB,Alba,Muzeul Național al Unirii din Alba Iulia (MNU)
AB,Alba,Muzeul de Artă Religioasă Reîntregirea din Alba Iulia
AB,Alba,"Muzeul de Științe Naturale din Aiud, înființat în 1796"
AB,Alba,Muzeul din Bistra
AR,Arad,Complexul Muzeal Arad
AR,Arad,Muzeul Comunei Săvârșin
AR,Arad,Muzeul de Artă din Arad
AR,Arad,Muzeul Memorial „Ioan Slavici și Emil Monția”
AR,Arad,Muzeul Orășenesc Lipova
AR,Arad,Muzeul Viei și Vinului din Miniș
AR,Arad,Expoziția Memorială „Adam Müller-Guttenbrunn”
AR,Arad,"Colecția de Istorie a Teatrului, Muzicii și Cinematografului „Iosif Sârbuț"""
AR,Arad,Colecția de Carte Veche și Icoane „Ștefan Crișan”
AB,Alba,"Muzeul de cofetărie ""Ioan Gui"""
AG,Argeș,Casa Memorială Liviu Rebreanu
AG,Argeș,Muzeul Județean Argeș
AG,Argeș,Muzeul Etnografic din Mioveni
AG,Argeș,Muzeul Municipal Câmpulung
AG,Argeș,Muzeul Municipal Curtea de Argeș
AG,Argeș,Galeria Națională de Artă Naivă
AG,Argeș,Castrul roman Jidava
AG,Argeș,Mausoleul de la Mateiaș
BC,Bacău,Complexul Muzeal de Științele Naturii Ion Borcea din Bacău
BC,Bacău,Complexul Muzeal Iulian Antonescu din Bacău
BC,Bacău,Galeriile de Artă Ceramică „Anton Ciobanu”
BC,Bacău,Muzeul „Casa Zamfirei”
BH,Bihor,Muzeul Țării Crișurilor
BH,Bihor,"Muzeul Militar, Oradea"
BH,Bihor,Muzeul Memorial Aurel Lazăr
BH,Bihor,Muzeul Memorial Ady Endre
BN,Bistrița-Năsăud,Casa Memorială George Coșbuc
BN,Bistrița-Năsăud,Muzeul Memorial Teodor Tanco
BN,Bistrița-Năsăud,Muzeul de Artă Comparată Sângeorz-Băi
BN,Bistrița-Năsăud,Muzeul Cuibul Visurilor din Maieru
BN,Bistrița-Năsăud,Muzeul Grăniceresc Năsăudean din Năsăud
BN,Bistrița-Năsăud,Muzeul Mineritului din Rodna
BT,Botoșani,Muzeul Județean Botoșani
BT,Botoșani,Casa memorială Mihai Eminescu de la Ipotești
BT,Botoșani,"Colecția muzeală ,,Ioan Siminicianu”, satul Corni, comuna Corni"
BV,Brașov,Castelul Bran
BV,Brașov,Muzeul de Artă Brașov
BV,Brașov,Muzeul „Casa Mureșenilor”
BV,Brașov,Muzeul Județean de Istorie
BV,Brașov,Muzeul „Prima scoală românească”
BV,Brașov,Muzeul de Etnografie din Brașov
BV,Brașov,Muzeul Civilizației Urbane Brașov
BV,Brașov,Bastionul Graft din Brașov
BV,Brașov,Bastionul Țesătorilor din Brașov
BV,Brașov,"Muzeul Țării Făgărașului „Valer Literat”, din Cetatea Făgărașului"
BV,Brașov,Muzeul Satului Brănean
BV,Brașov,Muzeul de Etnografie Hărman
BV,Brașov,Muzeul Vămii Medievale din Bran
BR,Brăila,Muzeul Brăilei
BR,Brăila,Casa Memorială „Panait Istrati”
BR,Brăila,Casa Memorială „D. P. Perpessicius”
BR,Brăila,"Casa Memorială ""Fănuș Neagu"""
BZ,Buzău,Muzeul Județean Buzău
BZ,Buzău,Muzeul Chihlimbarului din satul Colți
CS,Caraș-Severin,Muzeul Banatului Montan
CS,Caraș-Severin,Muzeul județean de etnografie și al regimentului de graniță
CS,Caraș-Severin,Muzeul Locomotivelor cu Abur din Reșița
CS,Caraș-Severin,Muzeul de Mineralogie estetică a fierului din Ocna de Fier
CS,Caraș-Severin,Muzeul Cineastului Amator
CL,Călărași,Muzeul Dunării de Jos
CL,Călărași,Muzeul Civilizației Gumelnița din Oltenița
CJ,Cluj,Muzeul Național de Istorie a Transilvaniei
CJ,Cluj,Muzeul Etnografic al Transilvaniei
CJ,Cluj,Palatul Bánffy (Muzeul Național de Artă)
CJ,Cluj,Muzeul Ardelean
CJ,Cluj,"Muzeul ""Emil Isac"" din Cluj-Napoca"
CJ,Cluj,Muzeul Apei din Cluj-Napoca
CT,Constanța,Muzeul Arheologic Adamclisi
CT,Constanța,Muzeul de Istorie Națională și Arheologie
CT,Constanța,Muzeul de Artă din Constanța
CT,Constanța,Complexul Muzeal de știinte ale Naturii din Constanța
CT,Constanța,"Muzeul Carsium din Hârșova,"
CV,Covasna,Casa memorială „Romulus Cioflec” din Araci
CV,Covasna,Muzeul Depresiunii Baraolt din Baraolt
CV,Covasna,Colecția de Artă Plastică Cașinu Mic din Cașinu Mic
CV,Covasna,Muzeul Etnografic „Haszmann Pál” din Cernat
CV,Covasna,Casa Memorială „Gyárfás Jenó” din Sfântu Gheorghe
CV,Covasna,Muzeul Național al Carpaților Răsăriteni din Sfântu Gheorghe
CV,Covasna,Muzeul Național Secuiesc din Sfântu Gheorghe
CV,Covasna,Muzeul Breslelor din Târgu Secuiesc
CV,Covasna,Muzeul Etnografic Ceangăiesc din Zăbala
CV,Covasna,Muzeul Spiritualității Românești de la Catedrala Ortodoxă din Sfântu Gheorghe (înființat in 1993)
CV,Covasna,Muzeul Carpaților Răsăriteni
DB,Dâmbovița,Complexul Muzeal Curtea Domnească
DB,Dâmbovița,Muzeul de Artă
DB,Dâmbovița,Casa Memorială Gheorghe Petrașcu
DB,Dâmbovița,"Muzeul Tiparului și al Cărții Vechi Românești, Târgoviște"
DB,Dâmbovița,Muzeul Scriitorilor
DB,Dâmbovița,Muzeul Poliției
DB,Dâmbovița,Casa Memorială Ion Luca Caragiale
DB,Dâmbovița,Muzeul Scriitorilor Dâmbovițeni
DB,Dâmbovița,Muzeul eclezial din Fieni
DJ,Dolj,Casa Memorială Traian Demetrescu din Craiova
DJ,Dolj,Muzeul „Vetre Strămoșești” din Celaru
DJ,Dolj,Muzeul Marincu din Calafat
DJ,Dolj,Muzeul Nisipului din Dăbuleni
GL,Galați,Muzeul Spiritualității și Creștinătății la Dunărea de Jos]
GL,Galați,Muzeul de Artă Vizuală din Galați
GL,Galați,Muzeul din Tecuci
GL,Galați,Casa „Cuza Vodă” din Galați
GL,Galați,Muzeul de Istorie „Paul Păltănea” Galați
GL,Galați,Muzeul de Științe Ale Naturii Galați
GL,Galați,Casa Colecțiilor
GL,Galați,Muzeul Filateliei și Numismaticii
GL,Galați,Muzeul Uzina de Apă
GR,Giurgiu,Muzeul Județean „Teohari Antonescu” din Giurgiu
GR,Giurgiu,Muzeul Dacia din Frătești
GR,Giurgiu,Muzeul Episcopiei Giurgiului
GR,Giurgiu,Muzeul de artă și tehnică populară din Vânătorii Mici
GJ,Gorj,Muzeul Județean Gorj „Alexandru Ștefulescu” din Târgu Jiu
GJ,Gorj,Muzeul Tezaurului de la Tismana
HR,Harghita,Muzeului Secuiesc al Ciucului din Castelul Mikó din Miercurea Ciuc
HR,Harghita,Muzeul Oltului și al Mureșului Superior din Miercurea Ciuc
HR,Harghita,Muzeul Apelor Minerale din Tușnad
HR,Harghita,Muzeul Orășenesc „Molnár István” din Cristuru Secuiesc
HR,Harghita,"Colecția muzeală a Mănăstirii ""Sf. Ilie"" de la Toplița"
HR,Harghita,Muzeul de Etnografie Toplița
HR,Harghita,"Muzeul pălăriilor de paie din Crișeni, înființat de către Szocs Lajos [53]"
HR,Harghita,Colecția muzeală sătească Corund din Corund
HR,Harghita,Colecția muzeală sătească Praid din Praid
HR,Harghita,Casa Memorială „Nagy Imre” din Jigodin Băi
